ai_job,human_job,industry
"Chatbot Operator",Manager,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Doctor,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Doctor,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Doctor,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Doctor,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Nurse,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Designer,IT
"Chatbot Operator",Doctor,IT
"Chatbot Operator",Manager,IT
"Chatbot Operator",Electrician,IT
"Chatbot Operator",Teacher,IT
"Chatbot Operator",Nurse,IT
