job_title,median_salary_usd
"RPA Developer",96094
"Automation Analyst",97401
"ML Engineer",115582
"Chatbot Operator",109399
"RPA Developer",144806
"Data Entry Clerk",129669
"ML Engineer",97724
"AI Engineer",137400
"AI Engineer",134113
"Automation Analyst",112256
"ML Engineer",113126
"RPA Developer",107067
"AI Engineer",135388
"ML Engineer",146263
"RPA Developer",109458
"AI Engineer",104793
"Data Entry Clerk",123287
"Data Entry Clerk",146042
"AI Engineer",122501
"Automation Analyst",146187
"Automation Analyst",97898
"ML Engineer",142362
"Automation Analyst",149764
"RPA Developer",136156
"AI Engineer",134803
"Data Entry Clerk",121497
"ML Engineer",112530
"Automation Analyst",101195
"Chatbot Operator",109537
"RPA Developer",124415
"RPA Developer",128788
"Data Entry Clerk",93572
"AI Engineer",113853
"RPA Developer",134908
"AI Engineer",95554
"Data Entry Clerk",101027
"Automation Analyst",119363
"ML Engineer",104349
"AI Engineer",148583
"Data Entry Clerk",139702
"Data Entry Clerk",93342
"Automation Analyst",132118
"ML Engineer",106320
"AI Engineer",107359
"AI Engineer",102368
"Automation Analyst",126084
"RPA Developer",118844
"Automation Analyst",120808
"Data Entry Clerk",124492
"RPA Developer",137597
"ML Engineer",132171
"Chatbot Operator",104753
"RPA Developer",91483
"AI Engineer",146561
"Chatbot Operator",111048
"Chatbot Operator",120401
"RPA Developer",131762
"Automation Analyst",128836
"ML Engineer",102271
"Automation Analyst",130498
"AI Engineer",115874
"ML Engineer",144752
"AI Engineer",105356
"Data Entry Clerk",143345
"Chatbot Operator",133641
"AI Engineer",123126
"Automation Analyst",130595
"RPA Developer",137648
"Automation Analyst",128429
"Data Entry Clerk",105034
"AI Engineer",110103
"RPA Developer",97031
"ML Engineer",104003
"RPA Developer",123658
"Automation Analyst",145214
"Chatbot Operator",147510
"AI Engineer",91640
"Automation Analyst",108014
"RPA Developer",121191
"ML Engineer",102507
"Automation Analyst",117308
"Chatbot Operator",147230
"Data Entry Clerk",145127
"Data Entry Clerk",146543
"Data Entry Clerk",93822
"Automation Analyst",115698
"Data Entry Clerk",110902
"Chatbot Operator",93676
"AI Engineer",112558
"Automation Analyst",99780
"Chatbot Operator",142365
"Automation Analyst",141458
"Automation Analyst",98593
"Chatbot Operator",134921
"ML Engineer",91731
"AI Engineer",91560
"RPA Developer",139818
"Data Entry Clerk",131328
"AI Engineer",106881
"RPA Developer",134565
"AI Engineer",91334
"Data Entry Clerk",149347
"RPA Developer",121197
"Automation Analyst",124290
"ML Engineer",138804
"Automation Analyst",138542
"Automation Analyst",130195
"Automation Analyst",132938
"Automation Analyst",135014
"Automation Analyst",99467
"RPA Developer",124589
"Automation Analyst",100154
"ML Engineer",147909
"Automation Analyst",107263
"Automation Analyst",125321
"RPA Developer",118902
"AI Engineer",135439
"RPA Developer",116612
"Chatbot Operator",123956
"Chatbot Operator",101406
"AI Engineer",141223
