ai_job_id,job_title,industry,ai_tool_used,automation_level,median_salary_usd,job_openings_2024,projected_openings_2030
1,Chatbot Operator,IT,Python,High,45653,79458,194372
2,RPA Developer,Healthcare,ChatGPT,Medium,96094,145361,10115
3,Automation Analyst,Healthcare,Power BI,Low,73491,103723,199381
4,Data Entry Clerk,Finance,Python,Medium,67624,36944,109572
5,Automation Analyst,Healthcare,Python,High,97401,89486,196489
6,ML Engineer,Healthcare,OpenCV,Low,61079,124012,170050
7,RPA Developer,Manufacturing,OpenCV,High,88352,127429,36762
8,ML Engineer,Finance,TensorFlow,Medium,115582,112112,54652
9,Chatbot Operator,Marketing,TensorFlow,Low,53221,143912,63196
10,Chatbot Operator,Finance,Power BI,Medium,109399,53050,56429
11,RPA Developer,IT,TensorFlow,Low,144806,21303,157865
12,Data Entry Clerk,IT,OpenCV,Medium,129669,147130,72354
13,ML Engineer,IT,ChatGPT,Low,97724,139751,169526
14,AI Engineer,Finance,UiPath,Low,137400,19099,178532
15,AI Engineer,Marketing,OpenCV,High,134113,103715,140391
16,Data Entry Clerk,Finance,Power BI,High,60498,108342,127515
17,Automation Analyst,Marketing,TensorFlow,Low,112256,13539,142987
18,RPA Developer,Healthcare,OpenCV,High,38239,66534,154278
19,AI Engineer,Marketing,ChatGPT,Medium,77128,145481,127191
20,AI Engineer,Finance,OpenCV,Medium,65427,54186,104908
21,ML Engineer,IT,UiPath,Medium,75444,135965,193175
22,ML Engineer,Marketing,ChatGPT,Medium,55640,69066,192345
23,RPA Developer,IT,TensorFlow,Low,63920,55770,100753
24,AI Engineer,Healthcare,OpenCV,Medium,86484,111415,184268
25,Data Entry Clerk,Finance,ChatGPT,Low,50576,23784,120490
26,AI Engineer,Finance,OpenCV,Medium,59691,70587,182515
27,ML Engineer,IT,Power BI,High,113126,149045,65980
28,RPA Developer,IT,UiPath,Medium,107067,71317,97957
29,Chatbot Operator,Healthcare,ChatGPT,High,71559,66053,101534
30,Automation Analyst,Manufacturing,Power BI,Low,61155,103695,134331
31,ML Engineer,Finance,TensorFlow,Medium,45177,56248,52756
32,Chatbot Operator,Marketing,OpenCV,Medium,68661,73844,69407
33,ML Engineer,Healthcare,TensorFlow,Low,69611,14148,86459
34,AI Engineer,Healthcare,OpenCV,Medium,135388,130519,148891
35,AI Engineer,Marketing,ChatGPT,Medium,87269,103575,124229
36,ML Engineer,IT,UiPath,Low,146263,103554,159349
37,AI Engineer,IT,UiPath,High,41418,110141,172582
38,RPA Developer,Manufacturing,TensorFlow,High,109458,18075,38082
39,ML Engineer,Healthcare,TensorFlow,High,44921,68197,28825
40,AI Engineer,Manufacturing,OpenCV,Low,104793,24499,96391
41,Data Entry Clerk,Manufacturing,UiPath,High,123287,59806,17881
42,Automation Analyst,Healthcare,TensorFlow,Medium,35495,81429,28238
43,Data Entry Clerk,Marketing,UiPath,Low,146042,117330,68845
44,AI Engineer,Finance,Python,Medium,122501,37650,195282
45,Data Entry Clerk,Healthcare,TensorFlow,High,54694,64303,180877
46,Automation Analyst,Marketing,Power BI,High,56343,13022,198450
47,Automation Analyst,IT,Python,High,146187,139417,12393
48,Automation Analyst,Manufacturing,UiPath,High,97898,13997,194780
49,ML Engineer,Marketing,ChatGPT,High,142362,68293,34742
50,Automation Analyst,IT,Python,Low,38547,97396,155014
51,Automation Analyst,Finance,UiPath,High,149764,70756,175250
52,Data Entry Clerk,Finance,UiPath,Medium,85803,104675,59463
53,AI Engineer,IT,UiPath,Medium,49554,28008,143394
54,RPA Developer,Marketing,ChatGPT,High,136156,16083,172870
55,AI Engineer,IT,UiPath,High,134803,107866,66825
56,Data Entry Clerk,Marketing,ChatGPT,Low,121497,126790,144309
57,ML Engineer,Marketing,Power BI,Low,112530,88473,13330
58,Automation Analyst,Healthcare,UiPath,High,101195,127925,53998
59,Chatbot Operator,Healthcare,Python,Low,109537,104854,135992
60,AI Engineer,Healthcare,UiPath,High,77669,137473,171473
61,AI Engineer,IT,Python,Low,86079,54899,13298
62,RPA Developer,Manufacturing,ChatGPT,Medium,124415,140457,103829
63,Chatbot Operator,Marketing,Python,Low,56942,126150,101734
64,RPA Developer,Healthcare,ChatGPT,High,128788,93772,36262
65,RPA Developer,Healthcare,UiPath,High,51914,24064,190872
66,Data Entry Clerk,Manufacturing,OpenCV,High,93572,21276,179568
67,AI Engineer,Marketing,ChatGPT,Low,113853,66345,114844
68,RPA Developer,Healthcare,UiPath,Medium,134908,102657,164338
69,AI Engineer,IT,OpenCV,Low,95554,149669,120165
70,Data Entry Clerk,Manufacturing,ChatGPT,Low,58598,44011,36157
71,AI Engineer,IT,OpenCV,High,84145,62460,196169
72,Data Entry Clerk,Finance,OpenCV,High,101027,12893,193775
73,Automation Analyst,Healthcare,Power BI,Low,119363,22210,103181
74,ML Engineer,IT,Python,High,104349,89847,196136
75,Chatbot Operator,Manufacturing,Python,High,43676,108996,19827
76,AI Engineer,Finance,Python,Medium,148583,146337,148168
77,Data Entry Clerk,IT,OpenCV,Low,85115,137077,49027
78,Data Entry Clerk,Marketing,Python,Medium,139702,110819,37077
