human_job_id,job_title,industry,key_human_skill,emotional_or_physical_labor,median_salary_usd,job_openings_2024,projected_openings_2030
1,Doctor,Marketing,Empathy,True,116120,154497,164856
2,Electrician,IT,Manual Skill,False,92355,169268,143919
3,Doctor,Healthcare,Manual Skill,False,41966,134848,50369
4,Manager,Manufacturing,Empathy,True,40120,120351,187711
5,Nurse,Healthcare,Creativity,True,130260,87793,95644
6,Teacher,Finance,Manual Skill,True,153794,11614,172306
7,Doctor,IT,Creativity,False,55260,92433,153222
8,Electrician,Healthcare,Creativity,True,71851,178325,39354
9,Nurse,Finance,Manual Skill,True,92728,91810,111304
10,Doctor,IT,Leadership,True,60486,133538,174327
11,Designer,Manufacturing,Empathy,True,158179,40358,22231
12,Nurse,IT,Leadership,True,124604,172855,168369
13,Manager,Healthcare,Problem Solving,False,95334,129470,113958
14,Nurse,Manufacturing,Empathy,False,83361,19416,82220
15,Designer,Healthcare,Manual Skill,False,65984,72892,198610
16,Teacher,Finance,Creativity,False,117249,100341,108514
17,Teacher,IT,Empathy,True,126480,119981,165835
18,Manager,Marketing,Creativity,False,141513,143468,201189
19,Nurse,IT,Empathy,True,110657,10867,165662
20,Teacher,Manufacturing,Empathy,True,122596,32639,103998
21,Designer,IT,Manual Skill,True,72279,166001,161985
22,Teacher,IT,Creativity,False,78523,134891,107822
23,Designer,Healthcare,Leadership,False,139644,155028,214898
24,Teacher,Finance,Problem Solving,False,111118,136944,150391
25,Manager,Healthcare,Creativity,False,49246,130878,72652
26,Teacher,Finance,Empathy,False,97708,95123,24739
27,Designer,Finance,Problem Solving,True,54969,144958,143013
28,Electrician,IT,Empathy,True,55632,168967,81547
29,Doctor,Marketing,Creativity,True,79276,113422,178270
30,Designer,Marketing,Problem Solving,True,100150,28218,145986
31,Nurse,Marketing,Manual Skill,False,73145,29432,209379
32,Manager,Marketing,Problem Solving,False,41295,109697,194694
33,Designer,Manufacturing,Manual Skill,True,60773,16275,72154
34,Manager,Healthcare,Manual Skill,False,80510,43556,155476
35,Electrician,Healthcare,Creativity,True,67487,72057,78042
36,Teacher,Healthcare,Leadership,True,51223,78294,130960
37,Designer,Manufacturing,Leadership,True,41415,39431,128062
38,Manager,Finance,Manual Skill,False,91824,170755,132649
39,Teacher,Manufacturing,Manual Skill,False,112667,21692,202531
40,Manager,IT,Problem Solving,True,155898,156200,115008
41,Doctor,IT,Leadership,False,124081,106618,146320
